status	key	command
Composition	Backspace	Backspace
Composition	Ctrl Backspace	Backspace
Composition	Ctrl h	Backspace
Composition	Shift Backspace	Backspace
Composition	Ctrl [	Cancel
Composition	Ctrl z	Cancel
Composition	ESC	Cancel
Composition	Shift ESC	Cancel
Composition	Ctrl Enter	Commit
Composition	Ctrl m	Commit
Composition	Enter	Commit
Composition	Henkan	Convert
Composition	Shift Space	Convert
Composition	Space	Convert
Composition	Ctrl p	ConvertToFullAlphanumeric
Composition	F9	ConvertToFullAlphanumeric
Composition	Shift Muhenkan	ConvertToFullAlphanumeric
Composition	Ctrl i	ConvertToFullKatakana
Composition	F7	ConvertToFullKatakana
Composition	Ctrl o	ConvertToHalfWidth
Composition	F8	ConvertToHalfWidth
Composition	Ctrl t	ConvertToHalfAlphanumeric
Composition	F10	ConvertToHalfAlphanumeric
Composition	Ctrl u	ConvertToHiragana
Composition	F6	ConvertToHiragana
Composition	F2	ConvertWithoutHistory
Composition	Hankaku/Zenkaku	IMEOff
Composition	Ctrl g	Delete
Composition	Delete	Delete
Composition	Ctrl k	MoveCursorLeft
Composition	Ctrl s	MoveCursorLeft
Composition	Left	MoveCursorLeft
Composition	Shift Left	MoveCursorLeft
Composition	Ctrl d	MoveCursorRight
Composition	Ctrl l	MoveCursorRight
Composition	Right	MoveCursorRight
Composition	Shift Right	MoveCursorRight
Composition	Ctrl a	MoveCursorToBeginning
Composition	Ctrl e	MoveCursorToBeginning
Composition	Ctrl Left	MoveCursorToBeginning
Composition	Ctrl Up	MoveCursorToBeginning
Composition	Home	MoveCursorToBeginning
Composition	Ctrl Down	MoveCursorToEnd
Composition	Ctrl f	MoveCursorToEnd
Composition	Ctrl n	MoveCursorToEnd
Composition	Ctrl Right	MoveCursorToEnd
Composition	Ctrl x	MoveCursorToEnd
Composition	Down	MoveCursorToEnd
Composition	End	MoveCursorToEnd
Composition	Tab	PredictAndConvert
Composition	Katakana	InputModeFullKatakana
Composition	Hiragana	InputModeHiragana
Composition	Muhenkan	SwitchKanaType
Composition	Eisu	ToggleAlphanumericMode
Conversion	Backspace	Cancel
Conversion	Ctrl Backspace	Cancel
Conversion	Ctrl g	Cancel
Conversion	Ctrl h	Cancel
Conversion	Ctrl z	Cancel
Conversion	Delete	Cancel
Conversion	ESC	Cancel
Conversion	Shift Backspace	Cancel
Conversion	Shift ESC	Cancel
Conversion	Ctrl [	Cancel
Conversion	Ctrl Enter	Commit
Conversion	Ctrl m	Commit
Conversion	Enter	Commit
Conversion	Ctrl Down	CommitOnlyFirstSegment
Conversion	Ctrl n	CommitOnlyFirstSegment
Conversion	Ctrl p	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Conversion	Shift Muhenkan	ConvertToFullAlphanumeric
Conversion	Ctrl i	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Conversion	Ctrl o	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Conversion	Ctrl t	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Conversion	Ctrl u	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Conversion	Hankaku/Zenkaku	IMEOff
Conversion	Ctrl l	SegmentWidthExpand
Conversion	Shift Right	SegmentWidthExpand
Conversion	Ctrl s	SegmentFocusLeft
Conversion	Left	SegmentFocusLeft
Conversion	Ctrl d	SegmentFocusRight
Conversion	Right	SegmentFocusRight
Conversion	Ctrl a	SegmentFocusFirst
Conversion	Ctrl Left	SegmentFocusFirst
Conversion	Home	SegmentFocusFirst
Conversion	Ctrl f	SegmentFocusLast
Conversion	Ctrl Right	SegmentFocusLast
Conversion	End	SegmentFocusLast
Conversion	Tab	PredictAndConvert
Conversion	Ctrl x	ConvertNext
Conversion	Down	ConvertNext
Conversion	Henkan	ConvertNext
Conversion	Space	ConvertNext
Conversion	PageDown	ConvertNextPage
Conversion	Shift Down	ConvertNextPage
Conversion	Ctrl e	ConvertPrev
Conversion	Ctrl Up	ConvertPrev
Conversion	Shift Henkan	ConvertPrev
Conversion	Shift Space	ConvertPrev
Conversion	Shift Tab	ConvertPrev
Conversion	Up	ConvertPrev
Conversion	PageUp	ConvertPrevPage
Conversion	Shift Up	ConvertPrevPage
Conversion	Katakana	InputModeFullKatakana
Conversion	Hiragana	InputModeHiragana
Conversion	Ctrl k	SegmentWidthShrink
